hash_inn,y,probability
74320,34,0.1598032
187284,14,0.33346963
169420,12,0.5198425
144738,12,0.48587754
131686,14,0.23603788
227377,12,0.24813639
234543,12,0.19890492
124780,12,0.18003416
239,12,0.280698
91018,34,0.1598032
86402,12,0.15645348
170887,12,0.17423733
211512,34,0.1598032
226935,14,0.3122221
108396,34,0.1598032
21717,14,0.26215786
5578,14,0.23071796
108069,14,0.31253654
202912,12,0.424703
87034,14,0.5183007
241058,52,0.30554217
222434,12,0.2647722
255585,12,0.47713143
175671,14,0.27004495
54646,12,0.22491406
26251,12,0.2610725
140345,12,0.18129559
30237,12,0.20312046
136513,12,0.27035844
212159,12,0.31581244
246887,12,0.3429716
129528,12,0.30026147
176503,12,0.37529364
105250,12,0.1937789
16934,12,0.2678322
110485,12,0.28709835
128909,12,0.2457768
260039,12,0.21843931
243845,12,0.46646598
65220,34,0.1598032
58471,34,0.28781796
133904,34,0.1598032
217535,12,0.36121106
250537,14,0.6066375
146410,16,0.17348056
146294,12,0.15942863
177730,34,0.1598032
85170,14,0.35915655
59187,14,0.24856628
199354,12,0.33646417
56675,14,0.20828108
3610,12,0.38597754
173905,12,0.38597754
144972,12,0.38597754
126891,12,0.3777109
209209,12,0.38597754
214256,12,0.38597754
22800,12,0.30288428
191010,12,0.26054314
252801,12,0.24810378
119125,12,0.27921697
59652,12,0.27921697
249203,12,0.27921697
228222,12,0.32966226
249216,12,0.3243688
46022,12,0.3243688
118631,12,0.29349965
184262,12,0.3243688
68506,12,0.3079844
39260,12,0.30715784
146579,12,0.36569446
221757,12,0.172343
13237,12,0.35430756
11366,12,0.4331363
158252,12,0.4812784
171232,12,0.36659735
91331,12,0.24750784
60230,12,0.32265624
219995,12,0.32265624
4214,12,0.32265624
164685,12,0.33533913
213498,12,0.22933695
55423,12,0.22933695
150869,12,0.22933695
245869,12,0.22933695
148701,12,0.28775367
221717,12,0.31210122
31904,12,0.28775367
58677,12,0.44133347
257372,12,0.28775367
165613,12,0.28775367
259177,12,0.41694516
199669,4,0.12132506
75451,12,0.4189492
199583,12,0.28775367
228749,12,0.27611643
197030,12,0.42650372
135504,12,0.24616121
170361,12,0.3470329
211051,12,0.3470329
223695,12,0.3470329
83428,12,0.3470329
94960,12,0.3470329
37318,12,0.3470329
93969,12,0.26617885
33165,12,0.3470329
99154,12,0.3470329
172344,12,0.4991591
18483,12,0.5066661
99500,12,0.4529464
141812,12,0.47131386
114446,12,0.22993429
221083,12,0.2345133
93044,12,0.24702726
228723,12,0.2898075
3380,12,0.24592341
246214,12,0.39966965
47235,12,0.18921867
21850,12,0.18921867
166324,12,0.37319618
126708,23,0.30118832
114445,12,0.18921867
212994,12,0.29322574
205821,12,0.20533964
258088,12,0.3732404
181777,12,0.34289134
252708,12,0.48574936
123502,12,0.34857634
73735,12,0.3732404
86336,12,0.2614986
241493,12,0.2614986
191085,12,0.36005935
190567,12,0.40434688
190856,12,0.42191815
146132,12,0.3897076
6395,12,0.44253507
199589,12,0.40101212
27139,4,0.2616066
226961,12,0.69731987
17402,12,0.71360123
84387,12,0.53690135
98585,12,0.30856547
211570,12,0.30856547
182338,12,0.7011001
28596,12,0.30856547
213879,12,0.30856547
176293,12,0.3932573
13811,12,0.47694662
139466,12,0.4451259
194757,12,0.43477595
245009,12,0.74292886
248745,12,0.6227511
258316,12,0.30856547
210269,12,0.5901984
159312,12,0.47373903
165410,12,0.4421374
236572,12,0.30856547
231623,12,0.6334188
56372,12,0.42558566
159278,12,0.30856547
89627,12,0.7143249
168322,12,0.6470337
20994,12,0.30856547
43008,12,0.42786548
208189,12,0.30856547
207287,12,0.50158477
23013,12,0.3467701
75809,12,0.33911437
154963,12,0.44724417
139669,12,0.5294489
85191,12,0.56049806
112298,12,0.32197282
208290,12,0.5096502
51218,12,0.4388876
60442,12,0.30856547
87350,12,0.30856547
112105,12,0.48919138
172629,12,0.75733256
138993,12,0.30856547
143491,12,0.55178034
97100,12,0.30856547
202236,12,0.30856547
23326,12,0.37820926
155279,12,0.30856547
82389,12,0.49481153
124285,12,0.30856547
197540,12,0.30856547
118900,12,0.4748677
9214,12,0.49181506
177652,12,0.34775603
145983,12,0.34775603
255370,12,0.47502813
245728,12,0.409814
44083,12,0.5290951
43175,12,0.6026421
231300,12,0.41442788
231155,12,0.34775603
186019,12,0.554862
204218,12,0.34775603
205523,12,0.569273
77880,12,0.34775603
255802,12,0.34775603
242758,12,0.34775603
104710,12,0.54612523
4003,12,0.37799135
86292,12,0.36341
79261,12,0.43834645
181275,12,0.34775603
90084,12,0.44899997
244234,4,0.14692095
118278,12,0.30106023
236023,34,0.13445973
241834,34,0.13993455
163350,12,0.36113656
191259,12,0.4661154
196542,12,0.26854482
124125,12,0.223043
253112,12,0.223043
189787,12,0.223043
63533,12,0.2945454
12154,12,0.50728357
237188,12,0.47990155
46802,12,0.35364586
165185,12,0.223043
200148,12,0.223043
240849,12,0.223043
66985,12,0.26956335
25902,12,0.17400081
16141,34,0.24287646
86048,34,0.24287646
232431,34,0.24287646
200234,34,0.21280125
61607,12,0.19386707
170098,14,0.32320356
74104,12,0.27820623
101039,12,0.26723886
109553,34,0.199787
19665,12,0.19478843
196389,12,0.22502504
142108,12,0.15566067
215264,12,0.12528814
84597,34,0.13718505
221511,12,0.18217877
67249,34,0.13718505
233981,12,0.15224451
231781,12,0.19989505
223380,12,0.33042762
64859,14,0.33772263
64043,14,0.1666288
2682,12,0.24241082
88672,12,0.21182
195702,12,0.17033261
8009,12,0.15718348
240913,14,0.6096958
142610,2,0.67414355
231477,12,0.13919151
172690,12,0.20876324
125229,12,0.2676274
227584,34,0.13718505
138763,12,0.14507473
152565,12,0.19499265
124009,4,0.1800652
127809,34,0.13718505
164680,52,0.18826836
199875,34,0.13718505
223427,12,0.18215312
256095,12,0.20804445
204191,12,0.2510062
131880,34,0.13718505
88879,12,0.18500356
198310,43,0.25487283
220043,12,0.21996446
117545,34,0.13718505
241867,12,0.43280578
70504,12,0.17084484
125457,14,0.44851637
50761,12,0.15509765
188838,12,0.16756804
106993,46,0.16410145
33683,52,0.18664056
128327,12,0.3170213
189291,12,0.27195674
105201,12,0.27195674
134462,12,0.31424007
232866,12,0.2929322
147655,12,0.27195674
186508,12,0.35767096
49731,12,0.27195674
257085,12,0.37111187
104695,26,0.1986269
132809,12,0.21225786
42436,34,0.1609927
37007,12,0.18246768
33094,12,0.34997353
37412,12,0.2274182
76145,12,0.16044022
256676,12,0.261799
89823,12,0.2866463
55995,12,0.26861936
17129,12,0.26861936
122784,12,0.34216315
160659,12,0.3771528
178864,12,0.32920152
129766,12,0.27459738
93373,12,0.37968326
203242,12,0.47600222
24671,12,0.428113
111618,12,0.48959944
12640,12,0.2833395
198027,12,0.2833395
182475,12,0.2833395
213077,12,0.2833395
23592,14,0.21312964
163024,14,0.21906792
153237,12,0.25591138
139968,12,0.17940438
13699,14,0.24459279
79275,14,0.15586507
68174,12,0.2305074
55476,14,0.2646481
134526,14,0.21312964
234349,14,0.14531723
208233,12,0.18106678
70649,14,0.21312964
169520,12,0.24002652
230267,12,0.13103509
2449,12,0.28111118
10583,14,0.21312964
68306,12,0.24318062
75114,12,0.19448102
170377,14,0.21312964
61597,12,0.20938176
114685,14,0.21312964
160476,14,0.1830688
186212,12,0.3590917
110558,12,0.28738803
181826,12,0.34766573
103403,12,0.26069322
243409,12,0.39246362
33620,12,0.26069322
135181,12,0.26069322
252436,12,0.4356642
13704,12,0.46953002
66457,12,0.35020924
60518,12,0.35020924
178136,26,0.39360133
34274,12,0.35020924
214497,12,0.50750345
129739,12,0.23219219
45259,12,0.26822016
133062,12,0.32877803
28091,12,0.3505532
256860,12,0.28399473
42316,12,0.35253692
201871,12,0.21954829
52882,12,0.21954829
227484,12,0.2809596
220011,12,0.2809596
136161,12,0.2809596
31813,14,0.26049447
62147,12,0.24067561
253132,34,0.16768527
159271,34,0.16768527
92132,34,0.16768527
153971,12,0.19483975
36532,12,0.24082758
185943,12,0.26751426
121800,12,0.24609374
18816,12,0.18235272
208142,12,0.31282437
217533,12,0.3068903
7877,12,0.22609591
230133,12,0.5447535
243376,12,0.2640736
92200,12,0.27783442
4239,21,0.18026263
184628,12,0.2214705
191174,12,0.2744062
69677,12,0.27926275
19189,12,0.36379543
226109,12,0.17900066
257363,12,0.17900066
238750,12,0.27616775
73024,12,0.39757997
187203,12,0.6524483
104079,12,0.55767155
159129,40,0.32651955
250741,12,0.2999836
95983,12,0.18177469
141501,12,0.18177469
142761,12,0.18177469
246453,12,0.5572761
207538,12,0.35463306
52275,12,0.31436932
211121,12,0.39984915
231104,12,0.18177469
245600,12,0.20902953
4881,12,0.42372206
65744,12,0.18177469
32966,12,0.3332993
149489,12,0.3706793
245338,12,0.5925488
119264,12,0.18177469
35369,12,0.57702476
129547,12,0.15389109
103758,34,0.1598032
64918,14,0.18623285
72836,12,0.20798483
1491,14,0.50881624
116718,34,0.1598032
190568,12,0.23112139
21283,12,0.34528223
86270,34,0.1598032
251426,12,0.41857374
46440,4,0.31951952
198827,12,0.18970078
178583,34,0.1598032
205719,12,0.37845066
102225,34,0.1598032
92742,12,0.37962884
160952,12,0.36899757
198726,14,0.34729102
149455,12,0.2878802
119749,14,0.2287031
228486,12,0.19944403
233420,12,0.26114488
118390,12,0.4111107
108244,12,0.48943886
126163,12,0.27971765
68053,34,0.1598032
10362,12,0.20716693
199865,12,0.39385954
255277,15,0.45681858
35669,4,0.22229333
195540,14,0.34934512
10805,12,0.15923996
86745,12,0.24652779
132317,34,0.1598032
13766,12,0.32351628
80384,12,0.25864798
115627,12,0.23706976
220848,34,0.1598032
28597,12,0.2508322
169123,12,0.26084635
152355,4,0.28525066
120899,14,0.27148688
196385,34,0.18162411
182538,12,0.23989628
221866,14,0.18753153
148055,34,0.1598032
132687,12,0.21583778
233218,16,0.27477673
249868,34,0.1598032
109124,12,0.39549917
12426,12,0.38597754
178504,12,0.38597754
106616,12,0.38597754
146575,12,0.38597754
191238,12,0.30288428
201902,12,0.26054314
86533,12,0.3292286
126797,12,0.3272596
85019,12,0.30981198
255408,12,0.27921697
238097,12,0.2675535
60013,12,0.30739614
79746,12,0.3243688
149309,20,0.2881831
4450,12,0.364807
101681,12,0.3243688
133234,12,0.38056082
11970,12,0.44214702
14482,12,0.36111274
37745,12,0.3243688
208752,12,0.32265624
3725,12,0.32265624
117893,12,0.22933695
140374,12,0.25306582
14353,12,0.20464459
113704,12,0.31050307
118,12,0.45800304
246477,12,0.28775367
113960,12,0.28775367
121341,12,0.43080747
74662,12,0.28775367
245341,12,0.34406686
230505,12,0.28775367
181420,20,0.24243224
10367,12,0.27611643
212503,12,0.26528358
15638,12,0.27611643
176216,12,0.6406289
17831,12,0.27611643
255850,12,0.27452216
130520,12,0.27611643
20331,12,0.17953578
140789,12,0.3470329
134267,12,0.3606782
8576,12,0.3470329
98526,12,0.3470329
158497,12,0.3470329
250321,12,0.4805671
55864,12,0.24896885
147163,12,0.22993429
175702,12,0.22993429
235734,12,0.2788816
167755,12,0.22993429
64757,12,0.36520043
79768,12,0.33898035
203976,12,0.24592341
123637,12,0.24592341
172987,12,0.23613673
8152,12,0.24592341
255452,12,0.4446887
20513,12,0.19459072
116002,12,0.18921867
143964,12,0.43876156
167073,12,0.18921867
106733,12,0.4388125
230287,12,0.3732404
109714,12,0.37675086
81935,12,0.37373096
117561,12,0.43989044
144586,12,0.3732404
208931,12,0.3732404
238896,12,0.3732404
156144,12,0.20242704
208630,12,0.2614986
1245,12,0.4580106
96121,12,0.2614986
164726,12,0.42508635
203961,12,0.4782268
253681,12,0.59328187
131553,12,0.30856547
80837,12,0.4404202
254100,12,0.30856547
239425,12,0.6802444
95398,12,0.28493062
9030,12,0.30856547
167234,12,0.30856547
53857,12,0.3682453
185925,12,0.30856547
10606,12,0.41788605
140535,12,0.30856547
254595,12,0.30856547
104779,12,0.30856547
83492,12,0.30856547
11959,12,0.36404222
189361,12,0.36267003
188960,12,0.4898609
180908,12,0.62811494
53413,12,0.63439476
153287,12,0.43013963
50883,12,0.30856547
165347,12,0.6552536
164014,12,0.50757945
207465,12,0.5825102
149664,12,0.56613785
206778,12,0.49961358
247927,12,0.3860279
21485,12,0.30856547
254754,12,0.5319651
31276,12,0.30856547
209762,12,0.40386552
40989,12,0.5476713
238752,12,0.5772085
133562,12,0.30856547
118614,12,0.39387116
230550,12,0.49417117
206319,12,0.48070198
148476,12,0.3321499
100970,12,0.30856547
237434,12,0.4228789
236081,12,0.30856547
124789,12,0.52041626
76487,12,0.66886365
213537,12,0.26888463
137475,12,0.37949428
195390,12,0.30856547
179715,12,0.64103407
252536,12,0.30856547
199935,12,0.66472673
46739,12,0.30856547
215238,12,0.30856547
194151,12,0.43436918
158339,12,0.59301424
221433,12,0.44519016
206911,12,0.30856547
253630,12,0.33259794
170831,12,0.30856547
4852,12,0.4880915
74548,12,0.6059804
175926,12,0.4708271
172185,12,0.4238446
108005,12,0.39026216
228865,12,0.32553813
220458,12,0.34775603
79633,12,0.43111938
92155,12,0.43593267
61678,12,0.4408618
162376,12,0.52800566
162684,12,0.62648356
44832,12,0.42811695
260235,12,0.5980183
49322,12,0.51328814
259979,12,0.4238446
52505,12,0.34775603
147119,12,0.54829055
21338,12,0.34775603
78226,12,0.34775603
87341,12,0.33773574
181958,12,0.34775603
150290,34,0.13445973
123817,12,0.36113656
34727,12,0.223043
30212,12,0.223043
194625,12,0.223043
235442,12,0.223043
130238,12,0.33661544
176082,12,0.223043
75659,12,0.43408895
218138,12,0.26313654
85436,4,0.25548235
51804,34,0.24287646
38752,34,0.21280125
202703,14,0.3254678
138309,12,0.20158194
220966,12,0.18332818
71741,12,0.16275752
131392,17,0.21662965
51353,34,0.21280125
69774,12,0.2304218
24406,26,0.27488407
245026,12,0.3403117
131727,12,0.27565166
138736,12,0.44636235
119065,14,0.19241238
206712,12,0.095835835
77730,12,0.21913546
223843,12,0.12782665
31018,26,0.19785127
36211,26,0.45183724
62216,34,0.2289038
1995,12,0.22252657
164592,12,0.17694357
162807,12,0.272003
76575,34,0.13718505
49362,34,0.13718505
27591,59,0.234713
147279,12,0.18530554
231320,12,0.4651063
180303,12,0.18973528
20715,34,0.13718505
232055,34,0.13718505
222320,34,0.13718505
145353,34,0.13718505
140060,12,0.2129332
248448,12,0.40227062
113424,12,0.19143946
198703,12,0.20130922
73052,14,0.21880738
87314,12,0.23498186
167518,14,0.23307961
68170,12,0.2753299
105653,12,0.2129332
231805,14,0.23991284
40099,14,0.5488501
37196,52,0.13774365
12348,12,0.19607337
191112,12,0.2155612
135981,12,0.13020132
224441,14,0.22419152
44313,12,0.2372823
32934,34,0.13718505
81047,12,0.16583267
47565,12,0.17710407
131483,34,0.13718505
70025,12,0.20815615
60280,34,0.13718505
183737,12,0.1356126
65473,12,0.392461
136747,12,0.28677702
125358,34,0.13718505
188476,34,0.13718505
165493,12,0.18343236
18010,12,0.17243084
129851,34,0.13718505
33820,12,0.19636907
257454,12,0.18577634
241475,12,0.28437018
240028,72,0.46373883
24549,14,0.20071203
79129,12,0.20517308
89272,12,0.17121774
11805,34,0.13718505
250976,12,0.22512457
150,12,0.19167359
113029,12,0.16166171
209997,12,0.42856133
360,12,0.27195674
200104,12,0.27195674
34055,34,0.1609927
227251,34,0.19067855
27036,14,0.33057803
196671,14,0.15788502
197187,12,0.42468992
246394,12,0.12703234
223841,12,0.1508967
210562,34,0.11848755
52912,12,0.18401638
69401,14,0.23334977
174214,34,0.1609927
169254,14,0.11148415
69930,12,0.51642144
243578,12,0.13099578
155986,12,0.10960575
108605,12,0.28203526
153098,12,0.19935992
36952,12,0.26861936
140206,12,0.26861936
32699,12,0.26861936
184230,12,0.26861936
34278,12,0.20978346
188122,12,0.26861936
231089,12,0.33888432
67746,12,0.2510731
163335,12,0.32272962
188260,12,0.26861936
209092,12,0.26861936
72777,12,0.26861936
11639,12,0.3771528
75112,12,0.3771528
188368,12,0.34930584
167992,34,0.27487528
130937,12,0.29428563
172845,34,0.27487528
118564,34,0.27487528
21872,12,0.502881
246093,12,0.23904862
85089,12,0.2833395
59053,12,0.36722475
195601,34,0.2735315
9379,14,0.21312964
57897,14,0.21073675
44811,14,0.20372267
110827,14,0.37973478
216659,14,0.30673346
61302,14,0.21294294
140623,14,0.21312964
143742,12,0.33199272
76010,14,0.21312964
234756,12,0.2338647
136051,12,0.22509354
220129,12,0.25674966
245932,14,0.21312964
133005,12,0.26069322
140213,12,0.26069322
136099,12,0.26691473
185293,12,0.19564487
214550,12,0.43922946
36338,12,0.27383685
94237,12,0.3282511
19470,12,0.21954829
98342,12,0.21954829
7390,12,0.18508159
120495,12,0.1853099
121423,42,0.13810977
133138,4,0.24283697
165524,12,0.2809596
260195,12,0.2809596
14414,12,0.2809596
94908,26,0.5581186
223924,12,0.1806856
170943,34,0.16768527
127615,12,0.22967912
173221,12,0.36390495
148212,12,0.18017076
167950,34,0.16768527
197112,12,0.22866614
57936,12,0.27926275
172732,12,0.27616775
182840,12,0.27616775
167661,12,0.24912211
198416,12,0.27616775
183688,12,0.27616775
155443,66,0.21386251
79949,12,0.18177469
72936,12,0.5040519
2128,12,0.3967253
158107,12,0.36746147
78363,12,0.52509207
78305,12,0.18177469
140278,12,0.47771809
177795,12,0.33101666
96618,12,0.18177469
8040,12,0.18177469
239109,12,0.2974677
216754,12,0.43033007
157642,12,0.5316223
77723,12,0.26100835
78194,34,0.1598032
185843,14,0.21571046
131100,34,0.1598032
26600,12,0.4293374
175322,12,0.21988623
173617,14,0.6054638
213574,12,0.21473856
224121,14,0.35259426
58088,12,0.30410638
132315,12,0.23975767
152582,34,0.1598032
30770,12,0.29145014
247735,12,0.18935977
203048,12,0.18520832
46194,12,0.16972612
103961,14,0.30979612
183767,68,0.2043127
58338,12,0.30667296
237859,12,0.23423655
137400,12,0.13706656
231829,12,0.19158499
63164,34,0.1598032
182339,14,0.15347728
33014,12,0.32040793
190776,46,0.4108133
5236,34,0.1598032
229442,12,0.12858415
25452,14,0.5200869
72068,34,0.21717618
187349,14,0.19923985
998,14,0.29286686
223821,34,0.21059225
176233,34,0.1598032
81541,12,0.43200722
228537,12,0.3237025
77913,12,0.3750386
101565,12,0.38597754
116544,12,0.39158514
185736,12,0.38597754
194678,12,0.34595194
66554,12,0.38597754
220291,12,0.38597754
205812,12,0.30288428
80743,12,0.38780746
200992,12,0.11783985
137750,12,0.26054314
6784,12,0.20658495
224542,12,0.36083388
96321,12,0.33694944
98752,12,0.3611066
175422,12,0.51346225
90924,12,0.27921697
142418,12,0.3243688
223126,12,0.342726
90904,12,0.3243688
211584,12,0.24750784
141213,12,0.3646925
183421,12,0.38929406
125527,12,0.465976
258708,12,0.40363973
156348,12,0.3860731
72306,12,0.22933695
253587,12,0.22933695
66530,12,0.22933695
257430,12,0.28775367
252052,12,0.43375194
17467,12,0.28775367
48557,12,0.16747653
128964,12,0.28775367
79360,12,0.32407618
177125,12,0.44042003
157126,12,0.27611643
129285,12,0.27611643
64292,12,0.27611643
145372,20,0.15234196
210556,12,0.27611643
45453,12,0.30979276
252645,12,0.3470329
30083,12,0.46236113
218053,12,0.22221833
35515,12,0.36564046
88976,12,0.24770693
159196,12,0.3470329
87721,12,0.3470329
170846,12,0.3470329
177399,12,0.3470329
87138,12,0.3470329
234876,12,0.3470329
52319,12,0.24896885
55218,12,0.12085441
174952,12,0.3494555
192823,12,0.24592341
209775,12,0.36747795
37134,12,0.24592341
112253,12,0.22442575
7828,12,0.18921867
88513,12,0.18921867
217893,12,0.19780125
27700,12,0.18018393
194745,12,0.18921867
171812,12,0.3732404
249339,12,0.2980548
57611,12,0.3732404
253749,12,0.3732404
254151,12,0.3893896
78279,12,0.32886025
187553,12,0.39016828
18057,12,0.3732404
105013,12,0.31560215
166903,12,0.2614986
259891,12,0.33403185
185668,12,0.2614986
123211,12,0.36097342
183675,12,0.2614986
239837,12,0.2614986
110679,12,0.606234
109683,12,0.30856547
126020,12,0.54815316
27407,12,0.30856547
136262,12,0.6511859
150515,12,0.4296115
110965,12,0.4192103
56843,12,0.39161384
255083,12,0.61862767
149542,12,0.30856547
126343,12,0.30856547
252393,12,0.30856547
130846,12,0.30856547
14461,12,0.34138414
158622,12,0.48128742
5176,12,0.43486783
119662,12,0.6703857
259802,12,0.40832147
217689,12,0.4321317
157437,12,0.30856547
137340,12,0.357504
113415,12,0.69277596
129629,12,0.30856547
52462,12,0.30856547
252509,12,0.42674533
191330,12,0.5172169
63657,12,0.30856547
10288,12,0.4704985
235128,12,0.30856547
54171,12,0.30856547
222533,12,0.5419892
252455,12,0.53578305
148172,12,0.60006416
149996,12,0.46718356
70664,12,0.4423211
219484,12,0.30856547
142731,12,0.30856547
260515,12,0.30856547
41567,12,0.41290563
189723,12,0.48921883
121323,12,0.66730124
62452,12,0.36267003
164583,12,0.30856547
216896,12,0.4949599
111537,12,0.30856547
148397,12,0.65336573
241334,12,0.30856547
170196,12,0.4579221
199642,12,0.6577971
215286,12,0.46675205
37758,12,0.34775603
53660,12,0.34775603
23339,12,0.37167326
210261,12,0.34775603
171435,12,0.40114507
234037,12,0.34775603
259490,12,0.34775603
56579,12,0.36317468
242597,12,0.5084322
156760,12,0.4897906
207275,12,0.36584824
43077,12,0.34775603
126327,12,0.53674257
35082,12,0.34775603
152724,12,0.50963223
115303,12,0.36618492
42472,34,0.13445973
155398,12,0.52365875
191263,12,0.64436084
6334,12,0.46881735
53593,12,0.48682037
133736,12,0.5676786
86367,76,0.34928486
175463,12,0.3767044
220670,12,0.223043
126365,12,0.52983975
201733,12,0.47853678
180492,12,0.223043
101196,12,0.35121736
187042,12,0.23413062
235123,12,0.26313654
18541,12,0.2790742
143393,34,0.24287646
161688,34,0.24287646
64230,34,0.24287646
42806,14,0.31700173
237286,39,0.34037128
67988,34,0.21280125
13953,12,0.4016539
408,34,0.21280125
170925,12,0.21423587
154059,33,0.2164925
106182,12,0.24069998
64050,34,0.21280125
155075,26,0.42275274
185788,12,0.2911821
46870,26,0.21782212
164045,34,0.23850676
55228,12,0.30835736
116130,12,0.2599627
195324,12,0.12638
11739,12,0.26952988
181403,39,0.21703173
125875,12,0.52081555
98944,12,0.25515014
134318,12,0.26429123
63828,34,0.2289038
67505,14,0.20177206
252397,14,0.51903
222983,14,0.17446539
113141,34,0.13718505
18995,52,0.27158248
122391,12,0.20628543
220070,12,0.4753345
156924,12,0.14064927
50368,12,0.12725028
245835,14,0.22879504
182103,34,0.13718505
10124,34,0.13718505
158289,34,0.13718505
224635,12,0.13196748
163613,12,0.52112573
128887,34,0.13718505
69475,12,0.39531454
190174,12,0.3144762
16029,54,0.11966229
53118,12,0.21609394
133678,34,0.13718505
30872,12,0.2644682
89523,12,0.24908316
12165,12,0.18215436
172068,12,0.16843103
199409,12,0.22057807
84202,12,0.19183064
153723,34,0.13718505
38877,14,0.20109753
57725,34,0.13718505
91426,34,0.13718505
162155,34,0.13718505
234748,12,0.13643804
77142,12,0.17691326
184595,12,0.48738232
183789,12,0.22643772
45041,12,0.23130701
86333,34,0.13718505
168884,14,0.19370933
62321,12,0.15360083
249493,12,0.2693756
66249,12,0.2634868
169831,12,0.4019569
150480,12,0.243406
125844,12,0.27195674
65275,12,0.27195674
183451,12,0.27195674
117714,12,0.27195674
191387,34,0.31862095
188445,34,0.1609927
134909,12,0.1739769
230676,12,0.20331024
182371,34,0.1609927
18104,12,0.29508427
197286,34,0.1609927
92247,14,0.22462519
173489,34,0.1609927
90017,52,0.17986622
193931,12,0.30963346
239706,12,0.26861936
119533,12,0.26861936
48417,12,0.26861936
138679,12,0.3316437
